9
0.0	0.0	-10.0
18.51	-0.18	0.99	20.48
18.53	0.02	0.96	19.46
18.55	0.18	0.96	18.50
18.56	0.32	0.99	17.59
18.58	0.44	1.05	16.73
18.60	0.55	1.14	15.91
18.62	0.67	1.27	15.08
18.65	0.81	1.45	14.26
18.67	0.96	1.70	13.45
18.69	1.15	2.03	12.67
18.72	1.39	2.47	11.93
18.74	1.69	3.03	11.27
18.77	2.09	3.78	10.67
18.79	2.59	4.74	10.20
18.82	3.22	5.96	9.90
18.85	4.09	7.61	9.86
18.88	5.29	9.85	10.28
18.90	6.57	12.16	11.21
18.93	8.13	14.80	12.91
18.95	9.95	17.54	15.67
18.98	11.94	19.94	19.71
19.00	13.39	21.06	23.44
19.01	14.61	21.33	27.30
19.03	15.64	20.58	31.49
19.05	16.23	19.00	34.97
19.06	16.46	16.61	37.94
19.08	16.31	13.95	39.94
19.09	15.82	11.03	41.20
19.10	15.02	8.07	41.70
19.12	13.95	5.29	41.50
19.13	12.69	2.85	40.75
19.14	11.31	0.84	39.59
19.16	9.87	-0.73	38.19
19.17	8.35	-1.96	36.56
19.19	6.61	-2.91	34.58
19.21	4.73	-3.49	32.31
19.23	3.14	-3.69	30.25
19.25	1.84	-3.69	28.41
19.27	0.74	-3.60	26.66
19.29	-0.05	-3.51	25.24
19.31	-0.59	-3.47	24.12
19.33	-1.05	-3.47	23.08
19.35	-1.45	-3.54	22.08
19.37	-1.81	-3.66	21.15
19.38	-2.15	-3.87	20.23
19.40	-2.48	-4.17	19.36
19.43	-2.84	-4.58	18.55
19.45	-3.23	-5.12	17.81
19.47	-3.69	-5.83	17.18
19.49	-4.26	-6.75	16.69
19.52	-4.96	-7.93	16.42
19.55	-5.88	-9.45	16.51
19.58	-7.14	-11.44	17.25
19.61	-8.63	-13.56	18.88
19.64	-9.98	-15.17	21.02
19.66	-11.23	-16.26	23.64
19.68	-12.22	-16.66	26.29
19.71	-13.04	-16.39	29.11
19.73	-13.58	-15.36	31.84
19.75	-13.76	-13.62	34.15
19.76	-13.61	-11.89	35.48
19.78	-13.18	-9.90	36.34
19.80	-12.51	-7.89	36.63
19.81	-11.63	-6.02	36.40
19.83	-10.62	-4.40	35.75
19.85	-9.54	-3.09	34.79
19.87	-8.36	-2.02	33.53
19.89	-7.13	-1.24	32.02
19.91	-5.91	-0.76	30.34
19.93	-4.80	-0.56	28.56
19.96	-3.85	-0.58	26.75
19.98	-3.15	-0.74	25.10
20.01	-2.65	-0.98	23.57
20.03	-2.32	-1.27	22.13
20.06	-2.13	-1.59	20.80
20.08	-2.05	-1.95	19.56
20.11	-2.07	-2.35	18.42
20.13	-2.18	-2.81	17.38
20.15	-2.38	-3.36	16.44
20.18	-2.71	-4.11	15.52
